BranchCreateEvent,BranchDeleteEvent,ClosedIssuesEvent,ClosedPullRequestEvent,CommitCommentEvent,CreatedIssueCommentEvent,CreatedPullRequestReviewCommentEvent,ForkEvent,GollumEvent,MemberEvent,OpenedIssuesEvent,OpenedPullRequestEvent,PublicEvent,PushEvent,ReleaseEvent,ReopenedIssuesEvent,ReopenedPullRequestEvent,RepositoryCreateEvent,StarEvent,TagCreateEvent,TagDeleteEvent
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
0,0,1,1,0,4,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,1,0,0,0
0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,0,0,3,0,5,4,0,0,0,0,1,0,6,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
3,3,0,1,0,2,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,0,2,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,2,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
0,0,0,2,3,32,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
